Project Title,Peer Reviews Filename
8-bit Uber: Exploring the effects of uncertainty in the Taxi environment,131_peer_reviews.pdf
A Chess Engine on Ice: Developing an Automated Curling Skip Capable of Decision Making under Uncertainty,067_peer_reviews.pdf
A Julia Package for Calculating the Gittins Index,158_peer_reviews.pdf
A Markov-Based Approach to Evaluate the Optimal Position of Zeposia in the Treatment of Ulcerative Colitis,091_peer_reviews.pdf
A Novel Reward Shaping Function for Single-Player Mahjong,140_peer_reviews.pdf
A SARSA-Based Agent to Play “Guilty Gear: Strive”,096_peer_reviews.pdf
AITA Judge Twitch Streamer,035_peer_reviews.pdf
Adaptive Water Supply Desalination Planning under Hydrological Uncertainty,148_peer_reviews.pdf
An Attemped Agent for Playing Catan,111_peer_reviews.pdf
Applying Q-Learning to Uno,117_peer_reviews.pdf
"Applying Reinforcement Learning and Online Planning to the Game ”Regenwormen""",040_peer_reviews.pdf
Applying Reinforcement Learning to Pac-Man,155_peer_reviews.pdf
Applying State Estimation Techniques to Improve Stability of a Ball-Balancing Robot,221_peer_reviews.pdf
Automated Theorem Proving with Graph Neural Network,219_peer_reviews.pdf
Automated Trading System using Reinforcement Learning,179_peer_reviews.pdf
Automating Neural Network Model Architecture Discovery with Policy Search Methods,115_peer_reviews.pdf
Autonomous Driving in a Roundabout with Rule-Breaking Agents,057_peer_reviews.pdf
Autonomous vehicle lane-keeping with model uncertainty: A reinforcement learning approach,135_peer_reviews.pdf
Baseball Pitch Analytics,204_peer_reviews.pdf
Battery Temperature Control for Deep Space Missions,181_peer_reviews.pdf
Bayesian Graphical and Deep Q-Learning Agents in Colonel Blotto Game,194_peer_reviews.pdf
Beating Cube Field,178_peer_reviews.pdf
Beating the Terminal Game,053_peer_reviews.pdf
Belief Updating for Improved Navigation in Wind,047_peer_reviews.pdf
Bidding Strategy for Residential Solar and Storage in Transactive Electricity Market using Reinforcement Learning,171_peer_reviews.pdf
Blackjack with Card Counting,041_peer_reviews.pdf
"Blackjack: Are the ""Basic Strategies"" Sufficient?",045_peer_reviews.pdf
Breaking the Code: An RL Solution to Mastermind,023_peer_reviews.pdf
Building a Poker Agent,232_peer_reviews.pdf
Building an Agent for Settlers of Catan,154_peer_reviews.pdf
Bulletproof AI: Reinforcement Learning for Collision Avoidance in Bullet Hell Games,097_peer_reviews.pdf
Buying a House without Going Broke,081_peer_reviews.pdf
CALIBRATING BLACK-BOX TRANSITION MODELS FOR MDP PLANNING USING CONFORMAL PREDICTION,201_peer_reviews.pdf
Can we do Bayesian structure learning using gradient descent?,080_peer_reviews.pdf
Card-Counting Blackjack Agent,102_peer_reviews.pdf
CheatGPT: Evaluating Robustness of Language Model Detectors to Adversarial Prompting,217_peer_reviews.pdf
Cleaning Up with Q-Learning: Optimizing Roomba Navigation in Unknown Environments,139_peer_reviews.pdf
Cleaning the streets with RL,149_peer_reviews.pdf
ClutchRL: Using Q-Learning To Find The Optimal Policy To Win A Close Basketball Game,013_peer_reviews.pdf
Code-Lint: Code Generation with Reinforcement Learning incorporating Linter Feedback,120_peer_reviews.pdf
Comparing Performance between Q-Learning and Fictitious Self-Play Trained on Neural Networks for Uno,100_peer_reviews.pdf
Comparison of Online Planning and Reinforcement Learning for Oil Spill Containment,030_peer_reviews.pdf
Cubo: Your Friendly Neighborhood Rolling Cube,126_peer_reviews.pdf
Decision Making in Quadcopter Navigation with The Effects of Wind,015_peer_reviews.pdf
Decision-Making Algorithms for Winning Coinche,202_peer_reviews.pdf
Decision-Making in Pineapple Poker,093_peer_reviews.pdf
Deep Double Q Network for Lunar Lander,062_peer_reviews.pdf
Deep Q-Learning for Minesweeper,095_peer_reviews.pdf
Deep Q-learning Network on Atari Game,075_peer_reviews.pdf
Deep Reinforcement Learning In Pairs Trading,022_peer_reviews.pdf
Deep Reinforcement Learning for In-Flight Calibration of a Lunar Lander,127_peer_reviews.pdf
Deep Reinforcement Learning for Stock Trading,078_peer_reviews.pdf
Designing a Reliable Crew Member,193_peer_reviews.pdf
Determining an optimal screening policy for colorectal cancer,119_peer_reviews.pdf
Developing An Automated 2D Simulation For Parking a Car,166_peer_reviews.pdf
Development and Evaluation of a Reinforcement Learning Model to Optimize Discharge Decisions in Hospital Emergency Departments,200_peer_reviews.pdf
Drag-based Reconfiguration of Spacecraft Formations Under Uncertainty,004_peer_reviews.pdf
Driving with Large Language Models,046_peer_reviews.pdf
Drone Delivery,192_peer_reviews.pdf
Dynamic Efficient Sampling Policy Learning - An Investigation of DRL-based Atari Game Playing,137_peer_reviews.pdf
Effect of Additional Information on Learning to Bid in First Price Auctions,224_peer_reviews.pdf
Efficient Diagnostic Questioning: Minimizing the Number of Questions for Accurate Medical Diagnoses,210_peer_reviews.pdf
Electric Vehicle Route Planning with Uncertainty in Charger Wait Times,222_peer_reviews.pdf
Energy Markets as an MDP,163_peer_reviews.pdf
Estimating Physical Parameters of Dynamical Systems Using Sequential Importance Sampling,214_peer_reviews.pdf
Estimating an Optimal Solution to Backgammon,033_peer_reviews.pdf
Evaluating Flood Risk for Evacuations: Decision Making with Bayesian Networks,025_peer_reviews.pdf
Evaluating the Disposition Effect using Reinforcement Learning,141_peer_reviews.pdf
Exploring Crop Irrigation Decisions Under Climate Uncertainty,146_peer_reviews.pdf
Fantasy Football Team Draft Sequential Decision Process,060_peer_reviews.pdf
Fantasy Ice Hockey Lineup Decisions with Q-Learning and SARSA,001_peer_reviews.pdf
Feel-Good Othello-Bot: Othello-Player Agent to Bring Satisfying Win for Human Player,088_peer_reviews.pdf
FishBot: Decision Making in Canadian Fish,076_peer_reviews.pdf
Flipping the Bit: Explorations in Learning the Ising Model,007_peer_reviews.pdf
FlyGenie: Minimize your flight ticket purchase costs,196_peer_reviews.pdf
Fuel Efficient Autonomous Driving,037_peer_reviews.pdf
Geometry Dash AI,109_peer_reviews.pdf
Get out of the way! Vehicle-Object Collision Avoidance,165_peer_reviews.pdf
Goal Misgeneralization in a Simple Reinforcement Learning Problem,227_peer_reviews.pdf
Greedy Search for Optimal Soil Sample Analysis,152_peer_reviews.pdf
Guided Decision Making Under Uncertainty,218_peer_reviews.pdf
Hanabi Heuristics and Hypotheses: Delving into Decision-Making Dynamics with Deep Q-Learning and Monte-Carlo Tree Search,186_peer_reviews.pdf
Health-aware Battery Usage Strategy for Data-driven Battery Management Systems (BMS),172_peer_reviews.pdf
Helping and Hindering: Recursive Reasoning in a Multi-Agent MDP,197_peer_reviews.pdf
Hit or Stand: Strategizing Blackjack Using Reinforcement Learning,133_peer_reviews.pdf
Hit or Stand? Optimizing Blackjack Strategy,010_peer_reviews.pdf
How do we walk? Controlling joint motor torque to achieve balanced movement,106_peer_reviews.pdf
How to not lose your starship: Strategy Optimization for Corellian Spike,108_peer_reviews.pdf
Hyperparameter-tuning Q-learning for flood-mitigation investment decision support system,175_peer_reviews.pdf
I ♥ RL: Using Q-Learning to Play Hearts,034_peer_reviews.pdf
Implementing Q-learning to Obtain Control Policy for Residential Battery System,125_peer_reviews.pdf
Improving Matches in Dynamic Organ Exchanges,145_peer_reviews.pdf
"Is There an ""I"" in Team? An Exploration of Capture the Flag Reinforcement Learning Agents",182_peer_reviews.pdf
LQR Robust Servomechanism and Kalman-Bucy Filter For Quadrotor Control & State Estimation,128_peer_reviews.pdf
Landing a Plane on Final Approach with Q-Learning,044_peer_reviews.pdf
Learning and Improving the Intelligent Driver Model with Reinforcement Learning,129_peer_reviews.pdf
Learning to Play Backgammon Using Reinforcement Learning,073_peer_reviews.pdf
Learning to Swim in Turbulent Environments,086_peer_reviews.pdf
Local Search Approaches to Trading Strategy Optimization in Animal Crossing: New Horizons,157_peer_reviews.pdf
Localization and path finding of a known environment,020_peer_reviews.pdf
MCTS Parameter Exploration For Simplified Catan,203_peer_reviews.pdf
Making a (Good) Pokemon 1v1 Battle Agent,072_peer_reviews.pdf
Maximum Entropy Reinforcement Learning for Prompt Tuning,039_peer_reviews.pdf
Measuring potential effects of an intelligent tutoring system,055_peer_reviews.pdf
Minesweeper: A Reinforcement Learning Approach,084_peer_reviews.pdf
Modeling Autonomous Traffic Flow using MDPs,107_peer_reviews.pdf
Modeling Central Bank Interest Rate Policy Decisions,014_peer_reviews.pdf
Modeling Deceit in Coup,079_peer_reviews.pdf
Modeling Strategies for the Conservation of Florida Manatees using POMDP Methods,153_peer_reviews.pdf
Modeling Teamfight Tactics as a POMDP,071_peer_reviews.pdf
Modeling the Board Game Secret Hitler as a Decision Making Problem,177_peer_reviews.pdf
Modeling the Use of Alternative Modalities to Complete Data Visualization Tasks,016_peer_reviews.pdf
Monte Carlo Tree Search Applied to Spaceship Maze,147_peer_reviews.pdf
Monte Carlo Tree Search for Exploitative Texas Hold'em Poker Agent,216_peer_reviews.pdf
Mortal (Q)ombat: Training an AI agent with Reinforcement Learning to Play a Brawler Game,006_peer_reviews.pdf
Multi-Agent Control in Partially Observable Environment,184_peer_reviews.pdf
Multi-Rover Exploration using Dec-POMDPs,092_peer_reviews.pdf
Multi-task Learning for Robotic Manipulation,122_peer_reviews.pdf
Multiagent Coordination of Space Debris Cleanup under Uncertainty,188_peer_reviews.pdf
Navigation of free-flying spacecraft without attitude measurements,207_peer_reviews.pdf
On Unstable Ground: Navigating Avalanche Terrain,211_peer_reviews.pdf
Online Planning Strategies for Hangman,162_peer_reviews.pdf
Online Planning with Terrain Friction Estimation for Safe Rover Navigation,068_peer_reviews.pdf
Optimal Dining Hall Choice,213_peer_reviews.pdf
Optimal Drone Navigation with Stochastic Dynamics,052_peer_reviews.pdf
Optimal Elevator Algorithm,099_peer_reviews.pdf
Optimal Load Scheduling for Smart Homes,028_peer_reviews.pdf
Optimal Online Ad Allocation Under Uncertainty,063_peer_reviews.pdf
Optimal Operation of Renewable Energy Plus Storage Systems Using Reinforcement Learning,043_peer_reviews.pdf
Optimal Policy for Ground-to-Satellite Communication using Reinforcement Learning,087_peer_reviews.pdf
Optimal Policy for Uber/Lyft drivers in the Bay Area,002_peer_reviews.pdf
Optimal Pricing as a Markov Decision Process,168_peer_reviews.pdf
Optimal Strategy Generation for Pandemic Game Using Monte Carlo Tree Search,008_peer_reviews.pdf
Optimal Texas Hold 'em Poker Pre-flop Play through Reinforcement Learning,049_peer_reviews.pdf
Optimal sequential decision making for managing ecosystem with POMDP,206_peer_reviews.pdf
Optimizing Christmas Gift Purchasing Decisions with Reinforcement Learning,031_peer_reviews.pdf
Optimizing Climate-Resilient Infrastructure Investment,180_peer_reviews.pdf
Optimizing Cloud Computing Resource Allocation,123_peer_reviews.pdf
Optimizing Green Infrastructure Citing for Urban Flood Mitigation,098_peer_reviews.pdf
Optimizing Store Inventory Management with Q-learning,061_peer_reviews.pdf
POMDPoker,164_peer_reviews.pdf
Particle Filter For Autonomous Vehicle Handover,021_peer_reviews.pdf
Particle Filter for Battery Aging State Estimation,208_peer_reviews.pdf
Payment Optimization for Combination Shoppers and Delivery Drivers using Deep Q Learning with Experience Replay,185_peer_reviews.pdf
Ping Pong Prodigy,113_peer_reviews.pdf
Planar Manipulation of an Object with Unknown and Changing Center of Mass,110_peer_reviews.pdf
Planning Flood Evacuations Using Monte Carlo Tree Search,159_peer_reviews.pdf
Playing Any Game: Using MCTS for General Game Playing,144_peer_reviews.pdf
Playing Mancala via Reinforcement Learning,059_peer_reviews.pdf
Playing Risk with Reinforcement Learning,142_peer_reviews.pdf
Playing blackjack using reinforcement learning,058_peer_reviews.pdf
Precise Point Positioning: Use of Extended-Kalman Filter in Global Positioning System,018_peer_reviews.pdf
Prepare to AI: Model-Free Reinforcement Learning for Dark Souls 1,134_peer_reviews.pdf
Preventing the Spread of Wind-Driven Wildfires with Partially Observable Markov Decision Processes,070_peer_reviews.pdf
Q-Learning for Crypto Trading: A Time series Driven Approach,026_peer_reviews.pdf
Q-Learning for a Traveling Salesman Problem Variant in Modified Landmark Traversal,187_peer_reviews.pdf
