Student ID,Peer Review 1 Title,Peer Review 1 Filename,Peer Review 2 Title,Peer Review 2 Filename
6336247,A SARSA-Based Agent to Play “Guilty Gear: Strive”,096.mp4,Autonomous Driving in a Roundabout with Rule-Breaking Agents,057.pdf
6098016,Optimizing Store Inventory Management with Q-learning,061.mp4,Optimal Operation of Renewable Energy Plus Storage Systems Using Reinforcement Learning,043.pdf
6604628,Evaluating Flood Risk for Evacuations: Decision Making with Bayesian Networks,025.mp4,Modeling Autonomous Traffic Flow using MDPs,107.mp4
6174251,A Markov-Based Approach to Evaluate the Optimal Position of Zeposia in the Treatment of Ulcerative Colitis,091.pdf,Geometry Dash AI,109.mp4
6250928,Mortal (Q)ombat: Training an AI agent with Reinforcement Learning to Play a Brawler Game,006.pdf,"Is There an ""I"" in Team? An Exploration of Capture the Flag Reinforcement Learning Agents",182.pdf
6369208,Local Search Approaches to Trading Strategy Optimization in Animal Crossing: New Horizons,157.pdf,Fantasy Ice Hockey Lineup Decisions with Q-Learning and SARSA,001.pdf
6503067,Solving Tic-Tac-Toe,032.mp4,Monte Carlo Tree Search Applied to Spaceship Maze,147.pdf
6399179,Multiagent Coordination of Space Debris Cleanup under Uncertainty,188.pdf,Deep Q-learning Network on Atari Game,075.pdf
6495746,Robust Nonlinear Reduced-Order Model Predictive Control,205.pdf,Safe Lane Merging for Autonomous Cars on the Highway through Markov Decision Process,130.pdf
6658613,Tropical Reforestation,009.mp4,CheatGPT: Evaluating Robustness of Language Model Detectors to Adversarial Prompting,217.pdf
6251043,Fantasy Football Team Draft Sequential Decision Process,060.pdf,Rocket Self-Landing using Proximal Policy Optimization,118.mp4
6496104,Estimating Physical Parameters of Dynamical Systems Using Sequential Importance Sampling,214.pdf,ClutchRL: Using Q-Learning To Find The Optimal Policy To Win A Close Basketball Game,013.mp4
6422840,battery-charger: Reinforcement learning techniques for wholesale market participation of grid-scale batteries,167.pdf,A Julia Package for Calculating the Gittins Index,158.pdf
6506988,Evaluating the Disposition Effect using Reinforcement Learning,141.pdf,Modeling Central Bank Interest Rate Policy Decisions,014.pdf
6433857,Particle Filter For Autonomous Vehicle Handover,021.pdf,Prepare to AI: Model-Free Reinforcement Learning for Dark Souls 1,134.pdf
6504130,Using Deep Q-Learning to Improve Automated Train Systems,209.pdf,Blackjack with Card Counting,041.pdf
6418374,How to not lose your starship: Strategy Optimization for Corellian Spike,108.pdf,RL-ATC: Multi-Agent Reinforcement Learning for On-the-Ground Air Traffic Control and Planning,223.pdf
6497509,Learning to Play Backgammon Using Reinforcement Learning,073.pdf,LQR Robust Servomechanism and Kalman-Bucy Filter For Quadrotor Control & State Estimation,128.pdf
6665231,Safe Drilling for Subsurface Resources in the Presence of Caves Using POMDPs,161.pdf,8-bit Uber: Exploring the effects of uncertainty in the Taxi environment,131.pdf
9611621,Rapid Calibration of a Cellular-Resolution Bidirectional Neural Interface,189.pdf,Hyperparameter-tuning Q-learning for flood-mitigation investment decision support system,175.pdf
6510556,Reinforcement Learning Strategies for Love Letter,229.pdf,Applying Q-Learning to Uno,117.pdf
6506984,Q-QWOP: Using Q-Learning for QWOP Policy Development,024.pdf,Beating the Terminal Game,053.pdf
6282319,Building an Agent for Settlers of Catan,154.pdf,Optimal sequential decision making for managing ecosystem with POMDP,206.pdf
6333666,Applying Reinforcement Learning to Pac-Man,155.pdf,Modeling Teamfight Tactics as a POMDP,071.pdf
6497322,Optimal Drone Navigation with Stochastic Dynamics,052.pdf,Solving the Taxi-v3 Problem Using Model-Free Reinforcement Learning,176.pdf
6665368,Minesweeper: A Reinforcement Learning Approach,084.pdf,Search and ResQ,042.mp4
6494234,Decision Making in Quadcopter Navigation with The Effects of Wind,015.pdf,Optimizing Christmas Gift Purchasing Decisions with Reinforcement Learning,031.mp4
6421435,Breaking the Code: An RL Solution to Mastermind,023.pdf,Deep Reinforcement Learning for In-Flight Calibration of a Lunar Lander,127.pdf
5901379,Localization and path finding of a known environment,020.pdf,FishBot: Decision Making in Canadian Fish,076.pdf
6650537,Tic-Tac-Toe: An Unbeatable Foe,105.pdf,Efficient Diagnostic Questioning: Minimizing the Number of Questions for Accurate Medical Diagnoses,210.pdf
6455296,Random Adaption to Trawler Problem for Ocean Search and Rescue,160.mp4,Online Planning Strategies for Hangman,162.pdf
6382945,Value Iteration applied to Orbital Debris Removal with a Satellite,005.pdf,Helping and Hindering: Recursive Reasoning in a Multi-Agent MDP,197.pdf
